PowerSupply voltage,Gemeten Voltage,Gemeten Ampere,Verschil in Ampere,LED voltage
1.80,0,0,,1.80
1.90,0,0,0,1.90
2.00,0,0,0,2.00
2.10,0,0,0,2.10
2.20,0,0,0,2.20
2.30,0,0,0,2.30
2.40,0,0,0,2.40
2.50,8,4,4,2.49
2.60,55,25,21,2.55
2.70,119,54,29,2.58
2.80,193,88,34,2.61
2.90,270,123,35,2.63
3.00,349,159,36,2.65
3.10,430,196,37,2.67
3.20,512,233,37,2.69
3.30,595,270,37,2.71
3.40,679,309,39,2.72
3.50,764,347,38,2.74
3.60,850,387,40,2.75
3.70,935,425,38,2.76
3.80,1022,465,40,2.78
3.90,1107,503,38,2.79
4.00,1195,543,40,2.80
4.10,1284,583,40,2.82
4.20,1370,623,40,2.83
4.30,1460,664,41,2.84
4.40,1548,703,39,2.85
4.50,1637,744,41,2.86
4.60,1726,785,41,2.87
4.70,1815,825,40,2.88
4.80,1904,866,41,2.90
4.90,1993,906,40,2.91
5.00,2085,947,41,2.91
5.10,2173,988,41,2.93
5.20,2263,1029,41,2.94
5.30,2354,1070,41,2.95
5.40,2443,1110,40,2.96
5.50,2534,1152,42,2.97
5.60,2625,1193,41,2.97
5.70,2716,1235,42,2.98
5.80,2808,1277,42,2.99
5.90,2899,1318,41,3.00
6.00,2991,1359,41,3.01
6.10,3081,1400,41,3.02
6.20,3173,1442,42,3.03
6.30,3265,1484,42,3.03
6.40,3356,1525,41,3.04
6.50,3447,1567,42,3.05
6.60,3538,1608,41,3.06
6.70,3631,1650,42,3.07
6.80,3723,1692,42,3.08
6.90,3816,1735,43,3.08
7.00,3910,1777,42,3.09
7.10,4001,1819,42,3.10
7.20,4095,1861,42,3.10
7.30,4185,1903,42,3.11
7.40,4280,1946,43,3.12
7.50,4374,1988,42,3.13
7.60,4466,2030,42,3.13
7.70,4561,2073,43,3.14
7.80,4653,2115,42,3.15
7.90,4747,2158,43,3.15
8.00,4842,2201,43,3.16
8.10,4933,2242,41,3.17
8.20,5027,2285,43,3.17
