PowerSupply voltage,Gemeten Voltage,Gemeten Ampere,Verschil in Ampere,LED voltage
1.80,5,2,,1.80
1.90,7,3,1,1.89
2.00,7,3,0,1.99
2.10,7,3,0,2.09
2.20,15,7,4,2.19
2.30,45,21,14,2.26
2.40,104,47,26,2.30
2.50,172,78,31,2.33
2.60,244,111,33,2.36
2.70,317,144,33,2.38
2.80,395,179,35,2.41
2.90,474,215,36,2.43
3.00,548,249,34,2.45
3.10,630,286,37,2.47
3.20,708,322,36,2.49
3.30,788,358,36,2.51
3.40,867,394,36,2.53
3.50,948,431,37,2.55
3.60,1030,469,38,2.57
3.70,1100,505,36,2.60
3.80,1194,543,38,2.61
3.90,1275,579,36,2.62
4.00,1359,618,39,2.64
4.10,1443,656,38,2.66
4.20,1525,693,37,2.67
4.30,1610,732,39,2.69
4.40,1693,770,38,2.71
4.50,1777,808,38,2.72
4.60,1864,847,39,2.74
4.70,1950,886,39,2.75
4.80,2035,925,39,2.76
4.90,2119,963,38,2.78
5.00,2205,1002,39,2.79
5.10,2288,1040,38,2.81
5.20,2374,1079,39,2.83
5.30,2460,1118,39,2.84
5.40,2545,1157,39,2.85
5.50,2632,1196,39,2.87
5.60,2717,1236,40,2.88
5.70,2806,1275,39,2.89
5.80,2894,1315,40,2.91
5.90,2979,1354,39,2.92
6.00,3066,1394,40,2.93
6.10,3154,1434,40,2.95
6.20,3244,1474,40,2.96
6.30,3330,1513,39,2.97
6.40,3415,1553,40,2.98
6.50,3502,1592,39,3.00
6.60,3588,1631,39,3.01
6.70,3677,1671,40,3.02
6.80,3767,1712,41,3.03
6.90,3856,1753,41,3.04
7.00,3945,1793,40,3.05
7.10,4031,1833,40,3.07
7.20,4121,1873,40,3.08
7.30,4208,1913,40,3.09
7.40,4302,1955,42,3.10
7.50,4394,1998,43,3.11
7.60,4480,2037,39,3.12
7.70,4570,2077,40,3.13
7.80,4657,2117,40,3.14
7.90,4749,2160,43,3.15
8.00,4840,2200,40,3.16
8.10,4926,2240,40,3.17
8.20,5017,2280,40,3.18
