PowerSupply voltage,Gemeten Voltage,Gemeten Ampere,Verschil in Ampere,LED voltage
1.72,9,4,,1.71
1.73,10,5,1,1.72
1.74,15,7,2,1.73
1.75,19,8,1,1.73
1.76,21,10,2,1.74
1.77,26,12,2,1.74
1.78,30,14,2,1.75
1.79,35,16,2,1.76
1.80,40,18,2,1.76
1.81,45,20,2,1.77
1.82,50,22,2,1.77
1.83,55,25,3,1.78
1.84,61,28,3,1.78
1.85,67,30,2,1.78
1.86,73,33,3,1.79
1.87,79,36,3,1.79
1.88,85,38,2,1.80
1.89,91,41,3,1.80
1.90,98,44,3,1.80
1.91,105,48,4,1.81
1.92,113,51,3,1.81
1.93,119,54,3,1.81
1.94,125,57,3,1.82
1.95,133,60,3,1.82
1.96,139,63,3,1.82
1.97,145,66,3,1.83
1.98,153,70,4,1.83
1.99,160,73,3,1.83
2.00,167,76,3,1.83
2.01,174,79,3,1.84
2.02,182,83,4,1.84
2.03,188,86,3,1.84
2.04,196,89,3,1.84
2.05,204,93,4,1.85
2.06,210,96,3,1.85
2.07,219,99,3,1.85
2.08,227,103,4,1.85
2.09,233,106,3,1.86
2.10,241,109,3,1.86
2.11,250,113,4,1.86
2.12,257,117,4,1.86
2.13,264,120,3,1.87
2.14,271,123,3,1.87
2.15,280,127,4,1.87
2.16,288,131,4,1.87
2.17,295,134,3,1.88
2.18,304,138,4,1.88
2.19,313,142,4,1.88
2.20,319,145,3,1.88
2.21,327,149,4,1.88
2.22,336,153,4,1.88
2.23,343,156,3,1.89
2.24,352,160,4,1.89
2.25,360,164,4,1.89
2.26,368,167,3,1.89
2.27,376,171,4,1.89
2.28,385,175,4,1.90
2.29,392,178,3,1.90
2.30,400,182,4,1.90
2.31,409,186,4,1.90
2.32,416,189,3,1.90
2.33,425,193,4,1.91
2.34,434,197,4,1.91
2.35,441,201,4,1.91
2.36,450,205,4,1.91
2.37,458,208,3,1.91
2.38,466,212,4,1.91
2.39,475,216,4,1.92
2.40,483,220,4,1.92
2.41,490,223,3,1.92
2.42,499,227,4,1.92
2.43,508,231,4,1.92
2.44,515,234,3,1.93
2.45,524,238,4,1.93
2.46,533,243,5,1.93
2.47,540,245,2,1.93
2.48,549,250,5,1.93
2.49,558,253,3,1.93
2.50,565,257,4,1.94
2.51,574,261,4,1.94
2.52,584,265,4,1.94
2.53,591,268,3,1.94
2.54,600,273,5,1.94
2.55,606,276,3,1.94
2.56,617,280,4,1.94
2.57,626,285,5,1.94
2.58,635,288,3,1.95
2.59,642,292,4,1.95
2.60,651,296,4,1.95
2.61,658,299,3,1.95
2.62,668,304,5,1.95
2.63,677,308,4,1.95
2.64,685,311,3,1.96
2.65,694,315,4,1.96
2.66,703,319,4,1.96
2.67,711,323,4,1.96
2.68,719,327,4,1.96
2.69,728,331,4,1.96
2.70,736,334,3,1.96
2.71,745,339,5,1.97
2.72,754,343,4,1.97
2.73,762,346,3,1.97
2.74,771,350,4,1.97
2.75,780,355,5,1.97
2.76,787,358,3,1.97
2.77,797,362,4,1.97
2.78,806,366,4,1.97
2.79,814,370,4,1.98
2.80,823,374,4,1.98
2.81,836,380,6,1.97
2.82,846,385,5,1.97
2.83,856,389,4,1.97
2.84,866,393,4,1.97
2.85,875,389,-4,1.98
2.86,882,401,12,1.98
2.87,891,406,5,1.98
2.88,898,408,2,1.98
2.89,908,413,5,1.98
2.90,919,418,5,1.98
2.91,927,421,3,1.98
2.92,936,425,4,1.98
2.93,946,430,5,1.98
2.94,955,434,4,1.99
2.95,963,438,4,1.99
2.96,972,441,3,1.99
2.97,979,445,4,1.99
2.98,990,450,5,1.99
2.99,997,453,3,1.99
3.00,1007,458,5,1.99
3.01,1016,462,4,1.99
3.02,1024,465,3,2.00
3.03,1033,470,5,2.00
3.04,1043,474,4,2.00
3.10,1147,520,46,1.95
3.20,1233,560,40,1.97
3.30,1325,602,42,1.98
3.40,1412,642,40,1.99
3.50,1503,682,40,2.00
3.60,1596,725,43,2.00
3.70,1685,766,41,2.02
3.80,1779,809,43,2.02
3.90,1871,850,41,2.03
4.00,1965,893,43,2.04
4.10,2047,931,38,2.05
4.20,2148,976,45,2.05
4.30,2241,1019,43,2.06
4.40,2332,1060,41,2.07
4.50,2425,1102,42,2.08
4.60,2519,1145,43,2.08
4.70,2613,1188,43,2.09
4.80,2705,1229,41,2.10
4.90,2797,1271,42,2.10
5.00,2892,1315,44,2.11
5.10,2985,1357,42,2.11
5.20,3080,1400,43,2.12
5.30,3175,1444,44,2.12
5.40,3269,1486,42,2.13
5.50,3364,1529,43,2.14
5.60,3458,1571,42,2.14
5.70,3553,1615,44,2.15
5.80,3648,1658,43,2.15
5.90,3741,1700,42,2.16
6.00,3838,1745,45,2.16
6.10,3930,1786,41,2.17
6.20,4026,1830,44,2.17
6.30,4120,1873,43,2.18
6.40,4214,1916,43,2.19
6.50,4309,1959,43,2.19
6.60,4404,2001,42,2.20
6.70,4500,2045,44,2.20
6.80,4592,2088,43,2.21
6.90,4688,2131,43,2.21
7.00,4783,2175,44,2.22
7.10,4877,2216,41,2.22
7.20,4971,2260,44,2.23
7.30,5065,2302,42,2.23
