PowerSupply voltage,Gemeten Voltage,Gemeten Ampere,Verschil in Ampere,LED voltage
1.80,6,3,,1.79
1.90,45,20,17,1.86
2.00,105,48,28,1.90
2.10,175,79,31,1.93
2.20,249,113,34,1.95
2.30,327,149,36,1.97
2.40,408,185,36,1.99
2.50,489,222,37,2.01
2.60,572,260,38,2.03
2.70,655,298,38,2.05
2.80,742,337,39,2.06
2.90,829,377,40,2.07
3.00,914,415,38,2.09
3.10,1002,456,41,2.10
3.20,1089,495,39,2.11
3.30,1179,536,41,2.12
3.40,1270,577,41,2.13
3.50,1358,617,40,2.14
3.60,1450,659,42,2.15
3.70,1540,700,41,2.16
3.80,1632,742,42,2.17
3.90,1722,783,41,2.18
4.00,1815,825,42,2.18
4.10,1908,867,42,2.19
4.20,2000,909,42,2.20
4.30,2093,951,42,2.21
4.40,2183,992,41,2.22
4.50,2277,1035,43,2.22
4.60,2370,1077,42,2.23
4.70,2460,1118,41,2.24
4.80,2556,1162,44,2.24
4.90,2649,1204,42,2.25
5.00,2743,1247,43,2.26
5.10,2834,1288,41,2.27
5.20,2928,1331,43,2.27
5.30,3024,1375,44,2.28
5.40,3116,1417,42,2.28
5.50,3212,1460,43,2.29
5.60,3305,1502,42,2.29
5.70,3400,1545,43,2.30
5.80,3495,1589,44,2.30
5.90,3588,1632,43,2.31
6.00,3687,1676,44,2.31
6.10,3780,1718,42,2.32
6.20,3876,1762,44,2.32
6.30,3972,1806,44,2.33
6.40,4065,1848,42,2.33
6.50,4163,1892,44,2.34
6.60,4256,1935,43,2.34
6.70,4351,1978,43,2.35
6.80,4446,2021,43,2.35
6.90,4543,2065,44,2.36
7.00,4639,2108,43,2.36
7.10,4732,2151,43,2.37
7.20,4830,2196,45,2.37
7.30,4924,2238,42,2.38
7.40,5020,2282,44,2.38
